uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,slideID,acceptedTaxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,specificEpithet,infraspecificEpithet,invertebrateLifeStage,sizeClass,sizeCategory,individualCount,subsamplePercent,estimatedTotalCount,immatureSpecimen,indeterminateSpecies,sampleCondition,distinctTaxon,identificationQualifier,identificationReferences,qcChecked,laboratoryName,identifiedBy,identificationRemarks,dataQF
"044019ff-0138-4ea2-89bb-478dd24ce1fe","D08","MAYF","MAYF.AOS.reach","2020-07-13T14:48Z","2020-10-06","MAYF.20200713.SNAG.5","A00000231259",,"HEPSP","Y","Heptageniidae sp.",,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Pisciforma",,"Heptagenioidea","Heptageniidae",,,,,"sp.",,"larva",5,,1,100,1,"N","N","damaged, affecting taxonomy and measurement","Y",,"Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb","Maccaffertium/Stenonema",
"62edd422-07a4-400a-bd73-73ff81d03785","D08","MAYF","MAYF.AOS.reach","2020-07-13T14:48Z","2020-10-01","MAYF.20200713.SNAG.2","A00000231255",,"POLSP13","Y","Polypedilum sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Chironomini",,"Polypedilum","sp.",,"larva",2,,1,100,1,"N","N","damaged, affecting taxonomy and measurement","N",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2008; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","B. Hayford",,
"ff07dcb7-4a47-4158-83bd-fddf20bb7e14","D08","MAYF","MAYF.AOS.reach","2020-07-13T14:48Z","2020-10-01","MAYF.20200713.SNAG.1","A00000231252",,"TANSP7","Y","Tanypodinae sp.",,"subfamily","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Tanypodinae",,,,"sp.",,"larva",1,,2,100,2,"Y","N","condition OK","N",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","B. Hayford",,
"0a6f5fd1-58fc-4ed9-b353-8e097c6500e9","D08","MAYF","MAYF.AOS.reach","2020-07-13T14:48Z","2020-10-06","MAYF.20200713.SNAG.3","A00000231257",,"ANISP1","Y","Anisoptera sp.",,"suborder","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Odonata","Anisoptera",,,,,,,,"sp.",,"larva",1,,1,100,1,"Y","N","condition OK","Y",,"Needham et al. 2000; Merritt et al. 2019; Tennessen 2019","N","Rhithron Associates, Inc.","J. Webb",,
"7540e4fa-f07c-40e7-b876-44f48990f678","D08","MAYF","MAYF.AOS.reach","2020-07-13T14:48Z","2020-10-01","MAYF.20200713.SNAG.2","A00000231255",,"ABLSP","Y","Ablabesmyia sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Tanypodinae","Pentaneurini",,"Ablabesmyia","sp.",,"larva",3,,2,100,2,"N","N","condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","B. Hayford",,
"e5e85fae-d314-4d70-96bd-db7f242ce1c8","D08","MAYF","MAYF.AOS.reach","2020-07-13T14:48Z","2020-10-06","MAYF.20200713.SNAG.5","A00000231259",,"ATRSP3","Y","Atractides sp.",,"genus","Arthropoda","Chelicerata","Arachnida","Acari",,"Acariformes","Trombidiformes","Prostigmata",,"Hygrobatoidea","Hygrobatidae",,,,"Atractides","sp.",,"adult",1,,1,100,1,"N","N","condition OK","Y",,"Thorp and Rogers 2016","N","Rhithron Associates, Inc.","J. Webb",,
"91a9ce04-5dd9-4d2d-9d21-1f9fe319a704","D08","MAYF","MAYF.AOS.reach","2020-07-13T14:48Z","2020-10-01","MAYF.20200713.SNAG.2","A00000231255",,"POLSCA","Y","Polypedilum scalaenum gr.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Chironomini",,"Polypedilum","scalaenum gr.",,"larva",3,,3,100,3,"N","N","condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2008; Andersen, Cranston and Epler 2018","N","Rhithron Associates, Inc.","B. Hayford",,
"12d46712-5286-4e18-b069-49a82ee847a7","D08","MAYF","MAYF.AOS.reach","2020-07-13T14:48Z","2020-10-06","MAYF.20200713.SNAG.2","A00000231255",,"LEUSP8","Y","Leuctra sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera","Euholognatha",,,"Leuctridae","Leuctrinae",,,"Leuctra","sp.",,"larva",4,,40,100,40,"N","N","condition OK","Y",,"Stewart and Stark 2002; Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,
"844b2f5e-ec60-40e9-9e50-f3bb28b02697","D08","MAYF","MAYF.AOS.reach","2020-07-13T14:48Z","2020-10-01","MAYF.20200713.SNAG.5","A00000231259",,"LUMSP2","Y","Lumbriculidae sp.",,"family","Annelida","Clitellata","Oligochaeta","Oligochaeta",,,"Lumbriculida",,,,"Lumbriculidae",,,,,"sp.",,"none",3,,1,100,1,"Y","N","condition OK","Y",,"Kathman and Brinkhurst, 1999","N","Rhithron Associates, Inc.","A. Fasbender","w/o proboscis",
"288846cf-88bf-4302-b29e-ba9bcb5e800c","D08","MAYF","MAYF.AOS.reach","2020-07-13T14:48Z","2020-10-06","MAYF.20200713.SNAG.1","A00000231252",,"STESP6","Y","Stenelmis sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","Elminae","Elmini",,"Stenelmis","sp.",,"larva",1,,3,100,3,"N","N","condition OK","N",,"Brown 1972; Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,
"19660c49-114a-4bed-9cab-08a5962e1250","D08","MAYF","MAYF.AOS.reach","2020-07-13T14:48Z","2020-10-01","MAYF.20200713.SNAG.3","A00000231257",,"TANSP11","Y","Tanytarsus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Tanytarsini",,"Tanytarsus","sp.",,"larva",3,,2,100,2,"N","N","condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","B. Hayford",,
"e2200ed3-71e9-4eb0-a99a-8d8b5e6eafb8","D08","MAYF","MAYF.AOS.reach","2020-07-13T14:48Z","2020-10-01","MAYF.20200713.SNAG.2","A00000231255",,"THIGRO","Y","Thienemannimyia gr.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Tanypodinae","Pentaneurini",,"Thienemannimyia","gr.",,"larva",2,,8,100,8,"Y","N","condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2008; Andersen, Cranston and Epler 2017","N","Rhithron Associates, Inc.","B. Hayford",,
"c1cf1b94-caf9-46a2-a70d-7478113aa1a9","D08","MAYF","MAYF.AOS.reach","2020-07-13T14:48Z","2020-10-01","MAYF.20200713.SNAG.2","A00000231255",,"TANSP11","Y","Tanytarsus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Tanytarsini",,"Tanytarsus","sp.",,"larva",3,,1,100,1,"N","N","condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","B. Hayford",,
"e92ed8c7-8431-448c-836b-4a962cfdc023","D08","MAYF","MAYF.AOS.reach","2020-07-13T14:48Z","2020-10-06","MAYF.20200713.SNAG.5","A00000231259",,"ELMSP","Y","Elmidae sp.",,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae",,,,,"sp.",,"larva",1,,2,100,2,"Y","N","condition OK","Y",,"Brown, 1972; Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb","Ancyronyx/Macronychus",
"d46339ff-4144-4f4b-9f7e-ead931c54945","D08","MAYF","MAYF.AOS.reach","2020-07-13T14:48Z","2020-10-06","MAYF.20200713.SNAG.5","A00000231259",,"NEOSP30","Y","Neoplasta sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Brachycera","Muscomorpha",,"Empididae","Hemerodromiinae","Hemerodromiini",,"Neoplasta","sp.",,"larva",2,,1,100,1,"N","N","condition OK","Y",,"Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,
"96ad832e-4566-4196-b0da-41c435fb3140","D08","MAYF","MAYF.AOS.reach","2020-07-13T14:48Z","2020-10-01","MAYF.20200713.CORE.2","A00000231288",,"NEOREI","Y","Neostempellina reissi",,"species","Arthropoda",,"Insecta",,,,"Diptera",,,,"Chironomidae",,,,"Neostempellina","reissi",,"larva",2,,1,100,1,"N","N","condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2008; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","B. Hayford",,
"798edb63-4a6c-4b75-ab19-d28331ff80bc","D08","MAYF","MAYF.AOS.reach","2020-07-13T14:48Z","2020-10-06","MAYF.20200713.SNAG.3","A00000231257",,"STESP6","Y","Stenelmis sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","Elminae","Elmini",,"Stenelmis","sp.",,"larva",4,,3,100,3,"N","N","condition OK","Y",,"Brown 1972; Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,
"2b509d9b-007b-49aa-9c05-e1d932802695","D08","MAYF","MAYF.AOS.reach","2020-07-13T14:48Z","2020-10-06","MAYF.20200713.CORE.3","A00000231289",,"HEXSP3","Y","Hexatoma sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Tipulomorpha",,"Tipulidae","Limoniinae","Hexatomini",,"Hexatoma","sp.",,"larva",7,,1,100,1,"N","N","condition OK","Y",,"Gelhaus and Podeniene 2018; Merritt et al. 2019","Y","Rhithron Associates, Inc.","J. Webb",,
"6316f5bb-4e2a-419a-9313-99e72211ca23","D08","MAYF","MAYF.AOS.reach","2020-07-13T14:48Z","2020-10-06","MAYF.20200713.SNAG.5","A00000231259",,"STESP6","Y","Stenelmis sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","Elminae","Elmini",,"Stenelmis","sp.",,"larva",1,,6,100,6,"N","N","condition OK","Y",,"Brown 1972; Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,
