uid,domainID,siteID,namedLocation,eventID,samplingImpractical,replicateNumber,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,samplingProtocolVersion,measurementLocation,measurementDirection,totalDensiometerPoints,coveredDensiometerPoints,canopyCoverPercent,remarks,collectedBy,recordedBy,dataQF
"2f28e7ed-ed4c-4c35-a180-f2e4ed1c8b47","D17","BIGC","BIGC.AOS.riparian.transect.06","BIGC.06.20190715.C",,1,37.060366,-119.257965,"WGS84",0.3,1135.0,0.2,"2019-07-15T18:13Z","NEON.DOC.003826vC","Center","upstream",17,14,82.4,,"esHShqwTCLws5x7riyt3Vi89pVmM1N6t","esHShqwTCLzq7N2ZNuboL6Oq0wByzx9d",
"5d3738c9-e031-435c-bb88-aaf6aaa5a76a","D17","BIGC","BIGC.AOS.riparian.transect.09","BIGC.09.20190715.C",,1,37.062020,-119.258550,"WGS84",0.6,1134.5,0.3,"2019-07-15T18:13Z","NEON.DOC.003826vC","Center","upstream",17,15,88.2,,"esHShqwTCLws5x7riyt3Vi89pVmM1N6t","esHShqwTCLzq7N2ZNuboL6Oq0wByzx9d",
"dca9bd89-3f68-40f0-8985-9c03d07e86ba","D17","BIGC","BIGC.AOS.riparian.transect.01","BIGC.01.20190715.R",,1,37.057635,-119.255467,"WGS84",0.4,1132.2,0.3,"2019-07-15T18:13Z","NEON.DOC.003826vC","Right Bank","river Right",17,15,88.2,,"esHShqwTCLws5x7riyt3Vi89pVmM1N6t","esHShqwTCLzq7N2ZNuboL6Oq0wByzx9d",
"26d39747-8f23-4c6f-bc88-651dedf8a97c","D17","BIGC","BIGC.AOS.riparian.transect.10","BIGC.10.20190715.C",,1,37.062682,-119.259594,"WGS84",0.4,1139.5,0.3,"2019-07-15T18:13Z","NEON.DOC.003826vC","Center","river Left",17,16,94.1,,"esHShqwTCLws5x7riyt3Vi89pVmM1N6t","esHShqwTCLzq7N2ZNuboL6Oq0wByzx9d",
"7c247aef-2e49-4561-80f5-05f0dfec909a","D17","BIGC","BIGC.AOS.riparian.transect.03","BIGC.03.20190715.C",,1,37.058766,-119.256738,"WGS84",0.3,1135.0,0.3,"2019-07-15T18:13Z","NEON.DOC.003826vC","Center","river Left",17,12,70.6,,"esHShqwTCLws5x7riyt3Vi89pVmM1N6t","esHShqwTCLzq7N2ZNuboL6Oq0wByzx9d",
"6e44bf5d-5eab-4cd0-b7e0-cb9d17bf1bc4","D17","BIGC","BIGC.AOS.riparian.transect.06","BIGC.06.20190715.R",,1,37.060366,-119.257965,"WGS84",0.3,1135.0,0.2,"2019-07-15T18:13Z","NEON.DOC.003826vC","Right Bank","river Right",17,17,100.0,,"esHShqwTCLws5x7riyt3Vi89pVmM1N6t","esHShqwTCLzq7N2ZNuboL6Oq0wByzx9d",
"99606a11-e2df-4769-8397-805191b36b56","D17","BIGC","BIGC.AOS.riparian.transect.06","BIGC.06.20190715.L",,1,37.060366,-119.257965,"WGS84",0.3,1135.0,0.2,"2019-07-15T18:13Z","NEON.DOC.003826vC","Left Bank","river Left",17,15,88.2,,"esHShqwTCLws5x7riyt3Vi89pVmM1N6t","esHShqwTCLzq7N2ZNuboL6Oq0wByzx9d",
"8a93e07c-db02-40c3-8f53-01c3478d85ef","D17","BIGC","BIGC.AOS.riparian.transect.02","BIGC.02.20190715.C",,1,37.058165,-119.256196,"WGS84",0.6,1133.8,0.5,"2019-07-15T18:13Z","NEON.DOC.003826vC","Center","river Right",17,9,52.9,,"esHShqwTCLws5x7riyt3Vi89pVmM1N6t","esHShqwTCLzq7N2ZNuboL6Oq0wByzx9d",
"036071a3-accc-4e5a-9ff9-00d768589246","D17","BIGC","BIGC.AOS.riparian.transect.01","BIGC.01.20190715.C",,1,37.057635,-119.255467,"WGS84",0.4,1132.2,0.3,"2019-07-15T18:13Z","NEON.DOC.003826vC","Center","upstream",17,13,76.5,,"esHShqwTCLws5x7riyt3Vi89pVmM1N6t","esHShqwTCLzq7N2ZNuboL6Oq0wByzx9d",
"0bb9d0ea-3d01-47d4-9fc9-80d2a9c810a7","D17","BIGC","BIGC.AOS.riparian.transect.09","BIGC.09.20190715.L",,1,37.062020,-119.258550,"WGS84",0.6,1134.5,0.3,"2019-07-15T18:13Z","NEON.DOC.003826vC","Left Bank","river Left",17,17,100.0,,"esHShqwTCLws5x7riyt3Vi89pVmM1N6t","esHShqwTCLzq7N2ZNuboL6Oq0wByzx9d",
"9295dd92-f3c6-4293-9589-3afcf45e8f9f","D17","BIGC","BIGC.AOS.riparian.transect.02","BIGC.02.20190715.C",,1,37.058165,-119.256196,"WGS84",0.6,1133.8,0.5,"2019-07-15T18:13Z","NEON.DOC.003826vC","Center","river Left",17,14,82.4,,"esHShqwTCLws5x7riyt3Vi89pVmM1N6t","esHShqwTCLzq7N2ZNuboL6Oq0wByzx9d",
"ddb6488d-3b69-4d50-bb2b-062d8c7c8330","D17","BIGC","BIGC.AOS.riparian.transect.05","BIGC.05.20190715.C",,1,37.059846,-119.257886,"WGS84",0.3,1133.1,0.2,"2019-07-15T18:13Z","NEON.DOC.003826vC","Center","river Left",17,12,70.6,,"esHShqwTCLws5x7riyt3Vi89pVmM1N6t","esHShqwTCLzq7N2ZNuboL6Oq0wByzx9d",
