uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,slideID,acceptedTaxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,specificEpithet,infraspecificEpithet,invertebrateLifeStage,sizeClass,sizeCategory,individualCount,subsamplePercent,estimatedTotalCount,immatureSpecimen,indeterminateSpecies,sampleCondition,distinctTaxon,identificationQualifier,identificationReferences,qcChecked,laboratoryName,identifiedBy,identificationRemarks,dataQF
"b60088c8-06e5-48c6-ac5f-98de76ba5682","D17","BIGC","BIGC.AOS.reach","2018-09-24T17:18Z","2019-02-06","BIGC.20180924.SURBER.2","A00000027067",,"DASSP2","Y","Dasyhelea sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Ceratopogonidae","Dasyheleinae",,,"Dasyhelea","sp.",,"larva",2,,5,19,27,"N","N","condition OK","Y",,"Merritt and Cummins 2008","N","EcoAnalysts Inc.","A. Navesky",,
"bb0308c4-f17e-40f1-aa0c-d8ac7b0fd5ab","D17","BIGC","BIGC.AOS.reach","2018-09-24T17:18Z","2019-02-06","BIGC.20180924.SURBER.8","A00000027081",,"CERSP10","Y","Ceratopogoninae sp.",,"subfamily","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Ceratopogonidae","Ceratopogoninae",,,,"sp.",,"larva",1,,1,8,12,"N","Y","condition OK","Y",,"Merritt and Cummins 2008","N","EcoAnalysts Inc.","A. Navesky",,
"a835a62e-1597-4d59-954b-8cdd9c60e9e5","D17","BIGC","BIGC.AOS.reach","2018-09-24T17:18Z","2019-01-04","BIGC.20180924.SURBER.2","A00000027067",,"NILFIM","Y","Nilotanypus fimbriatus",,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Tanypodinae","Pentaneurini",,"Nilotanypus","fimbriatus",,"larva",1,,1,19,5,"N","N","damaged, affecting measurement","Y",,"Epler 2001","N","EcoAnalysts Inc.","G. Wallace",,
"f5f167a4-b927-4711-9bcf-6440661822d1","D17","BIGC","BIGC.AOS.reach","2018-09-24T17:18Z","2019-02-06","BIGC.20180924.SURBER.7","A00000027062",,"CLEADD","Y","Cleptelmis addenda",,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","Elminae","Elmini",,"Cleptelmis","addenda",,"larva",2,,1,6,16,"N","N","condition OK","Y",,"Brown and White 1978","N","EcoAnalysts Inc.","A. Navesky",,
"24696fcf-145f-436a-bda2-a7b8f24b5aaf","D17","BIGC","BIGC.AOS.reach","2018-09-24T17:18Z","2019-01-04","BIGC.20180924.SURBER.2","A00000027067",,"PARSP34","Y","Paratanytarsus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Tanytarsini",,"Paratanytarsus","sp.",,"larva",2,,1,19,5,"N","N","damaged, affecting measurement","Y",,"Epler 2001","N","EcoAnalysts Inc.","G. Wallace",,
"fffa21d2-d198-4207-9ce7-0d316b40f7d2","D17","BIGC","BIGC.AOS.reach","2018-09-24T17:18Z","2019-02-06","BIGC.20180924.SURBER.7","A00000027062",,"OPTSP","Y","Optioservus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","Elminae","Elmini",,"Optioservus","sp.",,"larva",3,,1,6,16,"N","N","damaged, affecting measurement","Y",,"Merritt and Cummins 2008","N","EcoAnalysts Inc.","A. Navesky","head to ab seg 8",
"78428c80-7834-4fff-acb3-4bbbfff85a80","D17","BIGC","BIGC.AOS.reach","2018-09-24T17:18Z","2019-02-06","BIGC.20180924.SURBER.6","A00000027078",,"CERSP10","Y","Ceratopogoninae sp.",,"subfamily","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Ceratopogonidae","Ceratopogoninae",,,,"sp.",,"larva",2,,1,6,16,"N","Y","condition OK","Y",,"Merritt and Cummins 2008","N","EcoAnalysts Inc.","A. Navesky",,
"662bf459-e039-4699-8f79-5842886d63d9","D17","BIGC","BIGC.AOS.reach","2018-09-24T17:18Z","2019-02-06","BIGC.20180924.SURBER.5","A00000027080",,"LEPSP4","Y","Leptophlebiidae sp.",,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Furcatergalia","Lanceolata",,"Leptophlebiidae",,,,,"sp.",,"larva",1,,6,6,96,"Y","N","condition OK","Y",,"Merritt and Cummins 2008","N","EcoAnalysts Inc.","A. Navesky","or missing gills",
"c6bff140-2853-44d8-bd3a-8d81ccd57359","D17","BIGC","BIGC.AOS.reach","2018-09-24T17:18Z","2019-02-06","BIGC.20180924.SURBER.6","A00000027078",,"MICSP3","Y","Micrasema sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Trichoptera",,,"Limnephiloidea","Brachycentridae",,,,"Micrasema","sp.",,"larva",1,,1,6,16,"N","N","damaged, affecting measurement","Y",,"Wiggins 1996","N","EcoAnalysts Inc.","A. Navesky","head to ab seg 2",
"73f87b74-a304-4119-933a-d5a1b2b33f29","D17","BIGC","BIGC.AOS.reach","2018-09-24T17:18Z","2019-02-06","BIGC.20180924.SURBER.6","A00000027078",,"SPESP4","Y","Sperchon sp.",,"genus","Arthropoda","Chelicerata","Arachnida","Acari",,"Acariformes","Trombidiformes","Prostigmata",,"Lebertioidea","Sperchontidae",,,,"Sperchon","sp.",,"adult",1,,2,6,32,"N","N","condition OK","Y",,"Thorp and Covich 2001","N","EcoAnalysts Inc.","A. Navesky",,
"1735fefe-7b29-4d77-b49e-8fd2d92ed271","D17","BIGC","BIGC.AOS.reach","2018-09-24T17:18Z","2019-02-06","BIGC.20180924.SURBER.5","A00000027080",,"EPESP","Y","Epeorus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Pisciforma",,"Heptagenioidea","Heptageniidae",,,,"Epeorus","sp.",,"larva",1,,1,6,16,"Y","N","condition OK","Y",,"Merritt and Cummins 2008","N","EcoAnalysts Inc.","A. Navesky",,
"91593ae7-655e-4721-80ea-df6d3f5f5615","D17","BIGC","BIGC.AOS.reach","2018-09-24T17:18Z","2019-02-06","BIGC.20180924.SURBER.8","A00000027081",,"IROSP","Y","Ironodes sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Pisciforma",,"Heptagenioidea","Heptageniidae",,,,"Ironodes","sp.",,"larva",1,,1,8,12,"N","N","damaged, affecting measurement","Y",,"Merritt and Cummins 2008","N","EcoAnalysts Inc.","A. Navesky","head",
"c6842191-cc54-4c83-b988-7517d585e5ab","D17","BIGC","BIGC.AOS.reach","2018-09-24T17:18Z","2019-02-06","BIGC.20180924.SURBER.2","A00000027067",,"SWESP","Y","Sweltsa sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera","Systellognatha",,,"Chloroperlidae","Chloroperlinae",,,"Sweltsa","sp.",,"larva",4,,1,19,5,"N","N","condition OK","Y",,"Stewart and Stark, 2002","N","EcoAnalysts Inc.","A. Navesky",,
"3a406225-ed00-402a-9af7-e9f8e3e3e40a","D17","BIGC","BIGC.AOS.reach","2018-09-24T17:18Z","2019-01-04","BIGC.20180924.SURBER.3","A00000027064",,"BRISP","Y","Brillia sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Brillia","sp.",,"larva",3,,3,15,21,"N","N","condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","G. Wallace",,
