uid,domainID,siteID,namedLocation,eventID,samplingImpractical,replicateNumber,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,samplingProtocolVersion,measurementLocation,measurementDirection,totalDensiometerPoints,coveredDensiometerPoints,canopyCoverPercent,remarks,collectedBy,recordedBy,dataQF
"b65a59d5-df6a-450b-a93a-d3fa5b478c6c","D17","BIGC","BIGC.AOS.riparian.transect.08",,,,37.061671,-119.258119,"WGS84",0.7,1133.1,0.5,"2018-07-11T16:02Z","NEON.DOC.003826vC","Right Bank","river Right",17,12,70.6,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
"d92e0e30-7845-4b69-a359-25e9f8b4bfc9","D17","BIGC","BIGC.AOS.riparian.transect.07",,,,37.060952,-119.258135,"WGS84",0.4,1150.8,0.3,"2018-07-11T16:02Z","NEON.DOC.003826vC","Center","upstream",17,7,41.2,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
"14c609b9-3fb4-4e6c-971e-9d251f3c52f7","D17","BIGC","BIGC.AOS.riparian.transect.04",,,,37.059491,-119.257368,"WGS84",0.6,1149.7,0.3,"2018-07-11T16:02Z","NEON.DOC.003826vC","Center","river Left",17,14,82.4,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
"b946100e-7d09-4188-8e95-99df824d348d","D17","BIGC","BIGC.AOS.riparian.transect.04",,,,37.059491,-119.257368,"WGS84",0.6,1149.7,0.3,"2018-07-11T16:02Z","NEON.DOC.003826vC","Left Bank","river Left",17,16,94.1,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
"9401d6dd-c5e7-4dae-9fa9-f12d2be9a0ed","D17","BIGC","BIGC.AOS.riparian.transect.04",,,,37.059491,-119.257368,"WGS84",0.6,1149.7,0.3,"2018-07-11T16:02Z","NEON.DOC.003826vC","Center","downstream",17,9,52.9,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
"570be746-e84d-4f94-a3f6-171db9c9708c","D17","BIGC","BIGC.AOS.riparian.transect.08",,,,37.061671,-119.258119,"WGS84",0.7,1133.1,0.5,"2018-07-11T16:02Z","NEON.DOC.003826vC","Left Bank","river Left",17,17,100.0,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
"c8b18afc-eea9-4d81-97fb-64e7bd6a6a29","D17","BIGC","BIGC.AOS.riparian.transect.10",,,,37.062682,-119.259594,"WGS84",0.4,1139.5,0.3,"2018-07-11T16:02Z","NEON.DOC.003826vC","Center","upstream",17,12,70.6,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
"3dc9ed5f-aaad-47ed-ae1c-dbd48a3cb99f","D17","BIGC","BIGC.AOS.riparian.transect.09",,,,37.062020,-119.258550,"WGS84",0.6,1134.5,0.3,"2018-07-11T16:02Z","NEON.DOC.003826vC","Center","downstream",17,13,76.5,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
"bfac86f6-ac86-4c69-9a5f-d8b0ae2061af","D17","BIGC","BIGC.AOS.riparian.transect.01",,,,37.057635,-119.255467,"WGS84",0.4,1132.2,0.3,"2018-07-11T16:02Z","NEON.DOC.003826vC","Center","upstream",17,17,100.0,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
"b8ba9ddd-2906-4a92-9893-908e736ca32c","D17","BIGC","BIGC.AOS.riparian.transect.05",,,,37.059846,-119.257886,"WGS84",0.3,1133.1,0.2,"2018-07-11T16:02Z","NEON.DOC.003826vC","Right Bank","river Right",17,12,70.6,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
"63fefb4b-6b18-40b7-b6dc-e23cf3fb78d0","D17","BIGC","BIGC.AOS.riparian.transect.04",,,,37.059491,-119.257368,"WGS84",0.6,1149.7,0.3,"2018-07-11T16:02Z","NEON.DOC.003826vC","Center","downstream",17,4,23.5,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
"b24f7a9b-16f4-4e9e-9f62-9a6a269601a0","D17","BIGC","BIGC.AOS.riparian.transect.02",,,,37.058165,-119.256196,"WGS84",0.6,1133.8,0.5,"2018-07-11T16:02Z","NEON.DOC.003826vC","Left Bank","river Left",17,14,82.4,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
"308a7909-9e5d-4714-bc66-0001454cd2cb","D17","BIGC","BIGC.AOS.riparian.transect.09",,,,37.062020,-119.258550,"WGS84",0.6,1134.5,0.3,"2018-07-11T16:02Z","NEON.DOC.003826vC","Center","river Left",17,14,82.4,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
